chr physpos 0 mCentral nCentral mEastern nEastern mNigeria nNigeria
23 10191 9.783e-05 0 36 1 38 2 20
23 11075 0.00010632 0 36 0 38 1 20
23 11882 0.00011407 0 36 1 38 2 20
23 11963 0.00011484 0 36 0 38 2 20
23 12004 0.00011524 0 36 0 38 1 20
23 12199 0.00011711 0 36 0 38 1 20
23 12261 0.00011771 0 36 1 38 2 20
23 12469 0.0001197 2 36 6 38 4 20
23 12927 0.0001241 2 36 6 38 4 20
23 13355 0.00012821 0 36 0 38 4 20
23 13650 0.00013104 32 36 22 38 14 20
23 13843 0.00013289 32 36 22 38 14 20
23 14021 0.0001346 32 36 22 38 14 20
23 14133 0.00013568 0 36 0 38 1 20
23 14300 0.00013728 32 36 22 38 14 20
23 14532 0.00013951 32 36 23 38 14 20
23 14602 0.00014018 28 36 19 38 4 20
23 14635 0.0001405 32 36 23 38 14 20
23 14637 0.00014052 4 36 15 38 6 20
23 14780 0.00014189 0 36 0 38 4 20
23 14835 0.00014242 32 36 23 38 14 20
23 14923 0.00014326 29 36 19 38 5 20
23 15711 0.00015083 32 36 22 38 13 20
23 15745 0.00015115 4 36 16 38 7 20
23 15977 0.00015338 30 36 20 38 13 20
23 16244 0.00015594 0 36 0 38 1 20
23 16338 0.00015684 1 36 2 38 2 20
23 16366 0.00015711 6 36 19 38 7 20
23 16541 0.00015879 0 36 0 38 4 20
23 16575 0.00015912 4 36 19 38 7 20
23 16714 0.00016045 2 36 0 38 1 20
23 16808 0.00016136 4 36 19 38 7 20
23 16847 0.00016173 2 36 0 38 1 20
23 17206 0.00016518 7 36 21 38 11 20
23 17251 0.00016561 4 36 19 38 7 20
23 17619 0.00016914 4 36 19 38 7 20
23 18319 0.00017586 4 36 19 38 7 20
23 18590 0.00017846 0 36 0 38 1 20
23 18625 0.0001788 0 36 0 38 4 20
23 19086 0.00018323 0 36 0 38 1 20
23 19173 0.00018406 9 36 2 38 4 20
23 19470 0.00018691 30 36 19 38 13 20
23 19649 0.00018863 0 36 0 38 2 20
23 19664 0.00018877 6 36 0 38 1 20
23 20153 0.00019347 4 36 10 38 4 20
23 20233 0.00019424 0 36 0 38 2 20
23 20235 0.00019426 9 36 2 38 2 20
23 20302 0.0001949 0 36 0 38 1 20
23 20639 0.00019813 21 36 17 38 11 20
23 20703 0.00019875 1 36 0 38 1 20
23 21107 0.00020263 8 36 2 38 2 20
23 21191 0.00020343 0 36 2 38 2 20
23 22078 0.00021195 0 36 2 38 2 20
23 22266 0.00021375 0 36 0 38 1 20
23 22485 0.00021586 15 36 11 38 10 20
23 23142 0.00022216 21 36 19 38 10 20
23 23242 0.00022312 15 36 11 38 10 20
23 23278 0.00022347 15 36 11 38 10 20
23 24121 0.00023156 10 36 1 38 4 20
23 24254 0.00023284 21 36 27 38 10 20
23 24447 0.00023469 15 36 11 38 10 20
23 24470 0.00023491 5 36 0 38 1 20
23 24528 0.00023547 14 36 11 38 10 20
23 25381 0.00024366 4 36 10 38 6 20
23 25530 0.00024509 0 36 0 38 2 20
23 25542 0.0002452 0 36 0 38 4 20
23 25635 0.0002461 0 36 0 38 2 20
23 25907 0.00024871 0 36 1 38 4 20
23 26464 0.00025405 4 36 10 38 4 20
23 28313 0.0002718 2 36 3 38 3 20
23 28333 0.000272 28 36 18 38 10 20
23 28397 0.00027261 0 36 0 38 4 20
23 29082 0.00027919 0 36 0 38 1 20
23 29447 0.00028269 0 36 0 38 1 20
23 29688 0.000285 30 36 20 38 5 20
23 29795 0.00028603 3 36 3 38 3 20
23 29801 0.00028609 3 36 3 38 3 20
23 30325 0.00029112 3 36 14 38 4 20
23 30399 0.00029183 30 36 18 38 5 20
23 30589 0.00029365 30 36 18 38 5 20
23 30692 0.00029464 3 36 11 38 4 20
23 30777 0.00029546 3 36 11 38 4 20
23 30857 0.00029623 0 36 1 38 8 20
23 31018 0.00029777 30 36 18 38 5 20
23 31037 0.00029796 3 36 5 38 3 20
23 31254 0.00030004 30 36 18 38 5 20
23 31659 0.00030393 0 36 4 38 8 20
23 31954 0.00030676 6 36 3 38 3 20
23 32327 0.00031034 2 36 5 38 3 20
23 32686 0.00031379 0 36 0 38 1 20
23 33254 0.00031924 25 36 19 38 10 20
23 33619 0.00032274 3 36 9 38 4 20
23 33902 0.00032546 0 36 0 38 4 20
23 33943 0.00032585 0 36 1 38 4 20
23 33991 0.00032631 24 36 19 38 10 20
23 34413 0.00033036 0 36 0 38 2 20
23 35002 0.00033602 15 36 10 38 6 20
23 35090 0.00033686 0 36 5 38 3 20
23 35258 0.00033848 15 36 10 38 6 20
23 35288 0.00033876 1 36 4 38 4 20
23 35626 0.00034201 12 36 6 38 7 20
23 35689 0.00034261 3 36 9 38 4 20
23 35825 0.00034392 18 36 20 38 14 20
23 35848 0.00034414 18 36 18 38 6 20
23 35905 0.00034469 3 36 9 38 4 20
23 35974 0.00034535 2 36 0 38 3 20
23 36414 0.00034957 7 36 14 38 7 20
23 37774 0.00036263 0 36 0 38 3 20
23 37780 0.00036269 0 36 0 38 2 20
23 38320 0.00036787 12 36 4 38 8 20
23 38547 0.00037005 0 36 0 38 2 20
23 39016 0.00037455 16 36 19 38 6 20
23 39502 0.00037922 17 36 29 38 10 20
23 39946 0.00038348 20 36 29 38 10 20
23 40531 0.0003891 1 36 4 38 4 20
23 40808 0.00039176 3 36 0 38 1 20
23 40898 0.00039262 0 36 0 38 3 20
23 41867 0.00040192 0 36 0 38 3 20
23 42223 0.00040534 1 36 4 38 4 20
23 44307 0.00042535 0 36 4 38 4 20
23 44627 0.00042842 0 36 0 38 1 20
23 44758 0.00042968 4 36 0 38 1 20
23 45085 0.00043282 0 36 3 38 4 20
23 46077 0.00044234 0 36 0 38 4 20
23 46089 0.00044245 0 36 0 38 1 20
23 46108 0.00044264 0 36 3 38 4 20
23 46231 0.00044382 21 36 35 38 13 20
23 46345 0.00044491 0 36 3 38 4 20
23 46540 0.00044678 0 36 3 38 4 20
23 47168 0.00045281 8 36 0 38 3 20
23 47763 0.00045852 0 36 0 38 1 20
23 48108 0.00046184 0 36 0 38 3 20
23 48146 0.0004622 17 36 0 38 4 20
23 48217 0.00046288 19 36 34 38 12 20
23 49590 0.00047606 4 36 3 38 3 20
23 50150 0.00048144 20 36 25 38 6 20
23 50673 0.00048646 4 36 9 38 7 20
23 50808 0.00048776 18 36 25 38 6 20
23 51367 0.00049312 14 36 22 38 3 20
23 51448 0.0004939 4 36 7 38 3 20
23 51658 0.00049592 0 36 0 38 7 20
23 51758 0.00049688 0 36 3 38 4 20
23 51859 0.00049785 20 36 16 38 18 20
23 52089 0.00050005 0 36 3 38 4 20
23 52106 0.00050022 16 36 22 38 2 20
23 52159 0.00050073 16 36 22 38 2 20
23 52193 0.00050105 0 36 0 38 7 20
23 52480 0.00050381 0 36 0 38 1 20
23 52605 0.00050501 4 36 0 38 1 20
23 52723 0.00050614 4 36 9 38 6 20
23 53205 0.00051077 4 36 7 38 3 20
23 53215 0.00051086 0 36 0 38 1 20
23 53565 0.00051422 0 36 0 38 4 20
23 53960 0.00051802 0 36 0 38 3 20
23 54344 0.0005217 0 36 0 38 4 20
23 54459 0.00052281 14 36 21 38 2 20
23 54474 0.00052295 8 36 0 38 1 20
23 54483 0.00052304 2 36 0 38 1 20
23 54731 0.00052542 14 36 21 38 2 20
23 54814 0.00052621 14 36 21 38 2 20
23 55504 0.00053284 12 36 26 38 2 20
23 55866 0.00053631 24 36 12 38 18 20
23 55996 0.00053756 8 36 4 38 6 20
23 56063 0.0005382 14 36 27 38 2 20
23 56064 0.00053821 0 36 0 38 3 20
23 56081 0.00053838 3 36 0 38 1 20
23 56091 0.00053847 0 36 0 38 3 20
23 56214 0.00053965 23 36 11 38 14 20
23 56418 0.00054161 0 36 0 38 4 20
23 56758 0.00054488 14 36 10 38 12 20
23 57060 0.00054778 23 36 28 38 4 20
23 57799 0.00055487 15 36 10 38 12 20
23 57863 0.00055548 8 36 0 38 1 20
23 58226 0.00055897 8 36 0 38 1 20
23 58336 0.00056003 0 36 0 38 4 20
23 58390 0.00056054 0 36 0 38 1 20
23 58842 0.00056488 8 36 1 38 2 20
23 59422 0.00057045 0 36 0 38 3 20
23 59566 0.00057183 5 36 3 38 5 20
23 59591 0.00057207 0 36 0 38 4 20
23 59886 0.00057491 0 36 0 38 3 20
23 60895 0.00058459 5 36 3 38 5 20
23 61299 0.00058847 2 36 0 38 1 20
23 61949 0.00059471 0 36 0 38 4 20
23 62687 0.0006018 7 36 0 38 2 20
23 63174 0.00060647 4 36 1 38 1 20
23 63246 0.00060716 26 36 19 38 11 20
23 63731 0.00061182 0 36 0 38 2 20
23 64103 0.00061539 0 36 0 38 1 20
23 64345 0.00061771 7 36 11 38 7 20
23 64817 0.00062224 2 36 0 38 2 20
23 65016 0.00062415 3 36 0 38 1 20
23 66022 0.00063381 12 36 30 38 6 20
23 66111 0.00063467 26 36 32 38 12 20
23 66129 0.00063484 0 36 0 38 1 20
23 66496 0.00063836 0 36 0 38 4 20
23 66751 0.00064081 9 36 30 38 4 20
23 66758 0.00064088 7 36 1 38 1 20
23 66917 0.0006424 9 36 30 38 4 20
23 67277 0.00064586 25 36 26 38 12 20
23 67455 0.00064757 8 36 24 38 4 20
23 67912 0.00065196 2 36 0 38 1 20
23 68673 0.00065926 10 36 17 38 5 20
23 68677 0.0006593 10 36 17 38 5 20
23 71039 0.00068197 12 36 23 38 6 20
23 71187 0.0006834 24 36 15 38 14 20
23 72412 0.00069516 0 36 0 38 1 20
23 72482 0.00069583 0 36 1 38 3 20
23 72600 0.00069696 7 36 3 38 1 20
23 74214 0.00071245 1 36 6 38 1 20
23 74509 0.00071529 26 36 35 38 17 20
23 75358 0.00072344 0 36 0 38 1 20
23 75513 0.00072492 2 36 0 38 1 20
23 76065 0.00073022 21 36 32 38 6 20
23 77047 0.00073965 0 36 0 38 1 20
23 77608 0.00074504 1 36 6 38 1 20
23 77840 0.00074726 19 36 25 38 8 20
23 78859 0.00075705 4 36 18 38 4 20
23 79029 0.00075868 0 36 0 38 3 20
23 79468 0.00076289 8 36 24 38 15 20
23 79530 0.00076349 2 36 0 38 10 20
23 79567 0.00076384 0 36 0 38 1 20
23 80158 0.00076952 0 36 0 38 1 20
23 80199 0.00076991 2 36 3 38 6 20
23 80689 0.00077461 15 36 7 38 1 20
23 80852 0.00077618 5 36 21 38 1 20
23 80874 0.00077639 8 36 24 38 15 20
23 81726 0.00078457 1 36 6 38 1 20
23 81812 0.0007854 15 36 7 38 1 20
23 81947 0.00078669 2 36 3 38 1 20
23 82211 0.00078923 0 36 0 38 3 20
23 82243 0.00078953 1 36 3 38 14 20
23 82924 0.00079607 2 36 0 38 1 20
23 82963 0.00079644 12 36 20 38 19 20
23 83355 0.00080021 1 36 6 38 1 20
23 83959 0.00080601 12 36 18 38 3 20
23 83964 0.00080605 12 36 18 38 3 20
23 83970 0.00080611 12 36 18 38 3 20
23 84677 0.0008129 12 36 0 38 4 20
23 84798 0.00081406 10 36 0 38 4 20
23 85580 0.00082157 26 36 24 38 7 20
23 86325 0.00082872 0 36 0 38 2 20
23 87507 0.00084007 32 36 24 38 7 20
23 87694 0.00084186 2 36 0 38 1 20
23 87951 0.00084433 0 36 0 38 1 20
23 88006 0.00084486 1 36 9 38 1 20
23 88862 0.00085308 0 36 0 38 1 20
23 89495 0.00085915 0 36 0 38 9 20
23 90096 0.00086492 19 36 23 38 16 20
23 90712 0.00087084 0 36 0 38 3 20
23 90904 0.00087268 1 36 2 38 4 20
23 91525 0.00087864 0 36 0 38 1 20
23 91910 0.00088234 2 36 0 38 1 20
23 92260 0.0008857 0 36 0 38 1 20
23 92525 0.00088824 17 36 14 38 14 20
23 93504 0.00089764 12 36 0 38 1 20
23 93513 0.00089772 12 36 0 38 1 20
23 93965 0.00090206 7 36 8 38 4 20
23 94110 0.00090346 8 36 0 38 1 20
23 94459 0.00090681 8 36 0 38 1 20
23 94600 0.00090816 8 36 0 38 1 20
23 95138 0.00091332 1 36 6 38 1 20
23 95599 0.00091775 7 36 0 38 1 20
23 95730 0.00091901 0 36 0 38 1 20
23 96115 0.0009227 16 36 17 38 10 20
23 96190 0.00092342 12 36 0 38 1 20
23 96686 0.00092819 2 36 0 38 1 20
23 97128 0.00093243 1 36 0 38 4 20
23 97664 0.00093757 16 36 8 38 1 20
23 97894 0.00093978 5 36 0 38 1 20
23 98849 0.00094895 1 36 0 38 3 20
23 99248 0.00095278 5 36 0 38 1 20
23 99430 0.00095453 14 36 15 38 4 20
23 99569 0.00095586 1 36 9 38 1 20
23 99704 0.00095716 0 36 0 38 3 20
23 99883 0.00095888 0 36 0 38 7 20
23 99984 0.00095985 1 36 3 38 3 20
23 100311 0.00096299 16 36 10 38 8 20
23 100362 0.00096348 31 36 38 38 19 20
23 100516 0.00096495 31 36 38 38 19 20
23 100707 0.00096679 0 36 0 38 4 20
23 100754 0.00096724 0 36 0 38 1 20
23 100969 0.0009693 0 36 0 38 3 20
23 100984 0.00096945 0 36 0 38 3 20
23 101393 0.00097337 0 36 0 38 3 20
23 101563 0.000975 0 36 0 38 1 20
23 101640 0.00097574 16 36 25 38 13 20
23 101680 0.00097613 15 36 25 38 13 20
23 102184 0.00098097 0 36 0 38 1 20
23 102277 0.00098186 21 36 27 38 13 20
23 102463 0.00098364 1 36 0 38 2 20
23 102659 0.00098553 14 36 12 38 8 20
23 102755 0.00098645 0 36 0 38 1 20
23 103196 0.00099068 8 36 15 38 9 20
23 103326 0.00099193 1 36 0 38 2 20
23 103396 0.0009926 2 36 0 38 1 20
23 103522 0.00099381 0 36 0 38 3 20
23 105035 0.00100834 2 36 0 38 1 20
23 105622 0.00101397 1 36 1 38 3 20
23 105876 0.00101641 3 36 1 38 3 20
23 106311 0.00102059 1 36 6 38 1 20
23 106455 0.00102197 0 36 0 38 3 20
23 106683 0.00102416 2 36 0 38 6 20
23 106709 0.00102441 2 36 0 38 6 20
23 107226 0.00102937 0 36 0 38 5 20
23 108092 0.00103768 0 36 0 38 2 20
23 108195 0.00103867 0 36 0 38 5 20
23 108324 0.00103991 0 36 0 38 2 20
23 108725 0.00104376 3 36 8 38 1 20
23 108876 0.00104521 2 36 0 38 1 20
23 108942 0.00104584 1 36 1 38 3 20
23 109022 0.00104661 3 36 1 38 3 20
23 109319 0.00104946 0 36 0 38 1 20
23 109415 0.00105038 31 36 33 38 17 20
23 109582 0.00105199 3 36 1 38 3 20
23 109650 0.00105264 31 36 33 38 17 20
23 109997 0.00105597 8 36 5 38 3 20
23 110105 0.00105701 3 36 6 38 1 20
23 111256 0.00106806 8 36 9 38 10 20
23 111288 0.00106836 4 36 12 38 1 20
23 111527 0.00107066 13 36 3 38 2 20
23 111600 0.00107136 8 36 9 38 10 20
23 112470 0.00107971 1 36 0 38 1 20
23 112747 0.00108237 0 36 0 38 5 20
23 112975 0.00108456 0 36 0 38 5 20
23 113066 0.00108543 0 36 0 38 1 20
23 113197 0.00108669 1 36 3 38 1 20
23 113585 0.00109042 0 36 0 38 5 20
23 113963 0.00109404 1 36 1 38 5 20
23 114677 0.0011009 3 36 2 38 1 20
23 115156 0.0011055 0 36 0 38 1 20
23 115252 0.00110642 5 36 13 38 6 20
23 115607 0.00110983 4 36 0 38 1 20
23 115872 0.00111237 0 36 0 38 3 20
23 115922 0.00111285 15 36 18 38 5 20
23 116339 0.00111685 0 36 0 38 1 20
23 117443 0.00112745 0 36 0 38 1 20
23 118809 0.00114057 0 36 0 38 2 20
23 118923 0.00114166 2 36 8 38 4 20
23 119275 0.00114504 0 36 0 38 3 20
23 119293 0.00114521 0 36 0 38 2 20
23 119361 0.00114587 15 36 16 38 7 20
23 119744 0.00114954 0 36 0 38 5 20
23 119764 0.00114973 1 36 0 38 5 20
23 120053 0.00115251 0 36 0 38 2 20
23 120169 0.00115362 0 36 0 38 2 20
23 120197 0.00115389 0 36 0 38 3 20
23 120252 0.00115442 0 36 0 38 1 20
23 120637 0.00115812 23 36 20 38 7 20
23 120664 0.00115837 0 36 0 38 1 20
23 120755 0.00115925 0 36 0 38 1 20
23 120934 0.00116097 0 36 0 38 3 20
23 121112 0.00116268 2 36 3 38 1 20
23 121275 0.00116424 0 36 0 38 1 20
23 121343 0.00116489 0 36 0 38 2 20
23 121483 0.00116624 0 36 0 38 3 20
23 121532 0.00116671 1 36 4 38 3 20
23 121594 0.0011673 2 36 2 38 2 20
23 122013 0.00117132 0 36 0 38 3 20
23 122085 0.00117202 12 36 6 38 1 20
23 122216 0.00117327 11 36 7 38 5 20
23 122671 0.00117764 1 36 0 38 7 20
23 122674 0.00117767 2 36 3 38 1 20
23 122825 0.00117912 0 36 0 38 3 20
23 123314 0.00118381 1 36 0 38 4 20
23 123382 0.00118447 20 36 19 38 6 20
23 123885 0.0011893 0 36 0 38 2 20
23 123951 0.00118993 0 36 0 38 2 20
23 124455 0.00119477 18 36 19 38 9 20
23 126168 0.00121121 1 36 0 38 2 20
23 126503 0.00121443 19 36 17 38 11 20
23 126869 0.00121794 0 36 0 38 2 20
23 127225 0.00122136 13 36 7 38 6 20
23 127662 0.00122556 2 36 3 38 1 20
23 127937 0.0012282 13 36 7 38 6 20
23 127981 0.00122862 0 36 0 38 2 20
23 128763 0.00123612 23 36 31 38 14 20
23 128862 0.00123708 16 36 21 38 7 20
23 128944 0.00123786 1 36 0 38 4 20
23 129560 0.00124378 2 36 7 38 1 20
23 129731 0.00124542 0 36 0 38 2 20
23 130144 0.00124938 0 36 0 38 2 20
23 130860 0.00125626 0 36 0 38 2 20
23 130911 0.00125675 2 36 7 38 1 20
23 130971 0.00125732 0 36 0 38 1 20
23 131009 0.00125769 10 36 11 38 9 20
23 131793 0.00126521 0 36 0 38 3 20
23 131852 0.00126578 0 36 0 38 1 20
23 132093 0.00126809 0 36 0 38 1 20
23 132360 0.00127066 0 36 0 38 2 20
23 132639 0.00127333 10 36 11 38 9 20
23 133066 0.00127743 0 36 0 38 2 20
23 133349 0.00128015 26 36 27 38 8 20
23 133664 0.00128317 0 36 0 38 1 20
23 134058 0.00128696 0 36 0 38 2 20
23 134372 0.00128997 0 36 0 38 2 20
23 134463 0.00129084 2 36 10 38 1 20
23 134535 0.00129154 0 36 0 38 3 20
23 134890 0.00129494 0 36 0 38 3 20
23 135103 0.00129699 0 36 0 38 1 20
23 135537 0.00130116 0 36 0 38 2 20
23 135768 0.00130337 0 36 0 38 1 20
23 136587 0.00131124 15 36 15 38 7 20
23 136776 0.00131305 1 36 0 38 4 20
23 136958 0.0013148 0 36 0 38 2 20
23 137413 0.00131916 1 36 4 38 1 20
23 137538 0.00132036 0 36 0 38 2 20
23 137552 0.0013205 2 36 10 38 1 20
23 138016 0.00132495 0 36 0 38 2 20
23 138028 0.00132507 0 36 0 38 2 20
23 138048 0.00132526 7 36 1 38 9 20
23 138253 0.00132723 13 36 11 38 11 20
23 138993 0.00133433 15 36 26 38 12 20
23 139226 0.00133657 17 36 15 38 6 20
23 139487 0.00133908 0 36 0 38 2 20
23 139655 0.00134069 17 36 15 38 6 20
23 139904 0.00134308 19 36 23 38 14 20
23 139979 0.0013438 1 36 0 38 1 20
23 140102 0.00134498 0 36 0 38 2 20
23 140323 0.0013471 0 36 0 38 2 20
23 140658 0.00135032 0 36 0 38 2 20
23 141033 0.00135392 1 36 0 38 10 20
23 141144 0.00135498 0 36 0 38 2 20
23 141315 0.00135662 0 36 0 38 2 20
23 141682 0.00136015 0 36 0 38 1 20
23 142014 0.00136333 0 36 0 38 2 20
23 142864 0.00137149 0 36 0 38 1 20
23 142944 0.00137226 0 36 0 38 1 20
23 144627 0.00138842 0 36 0 38 1 20
23 146276 0.00140425 1 36 0 38 6 20
23 146573 0.0014071 0 36 0 38 3 20
23 146590 0.00140726 15 36 1 38 9 20
23 146659 0.00140793 0 36 0 38 1 20
23 146907 0.00141031 21 36 26 38 7 20
23 147112 0.00141228 0 36 0 38 1 20
23 147136 0.00141251 0 36 0 38 1 20
23 147294 0.00141402 8 36 0 38 4 20
23 147537 0.00141636 1 36 0 38 1 20
23 147826 0.00141913 0 36 0 38 1 20
23 148029 0.00142108 21 36 23 38 7 20
23 148207 0.00142279 21 36 30 38 7 20
23 148212 0.00142284 15 36 4 38 9 20
23 149096 0.00143132 0 36 0 38 3 20
23 149404 0.00143428 0 36 0 38 2 20
23 149493 0.00143513 0 36 0 38 1 20
23 150296 0.00144284 0 36 0 38 2 20
23 150902 0.00144866 3 36 0 38 9 20
23 152535 0.00146434 7 36 1 38 4 20
23 152837 0.00146724 0 36 0 38 1 20
23 153113 0.00146988 0 36 0 38 1 20
23 153238 0.00147108 3 36 0 38 9 20
23 153281 0.0014715 0 36 0 38 1 20
23 153771 0.0014762 7 36 1 38 4 20
23 154352 0.00148178 0 36 5 38 2 20
23 155387 0.00149172 31 36 28 38 4 20
23 155750 0.0014952 31 36 28 38 4 20
23 156926 0.00150649 0 36 0 38 1 20
23 157050 0.00150768 7 36 0 38 1 20
23 157068 0.00150785 33 36 36 38 6 20
23 157346 0.00151052 0 36 5 38 2 20
23 157475 0.00151176 31 36 21 38 4 20
23 158808 0.00152456 35 36 36 38 19 20
23 158947 0.00152589 0 36 10 38 1 20
23 160240 0.0015383 0 36 5 38 2 20
23 160921 0.00154484 0 36 0 38 1 20
23 161079 0.00154636 1 36 0 38 9 20
23 161165 0.00154718 0 36 0 38 4 20
23 161500 0.0015504 24 36 23 38 4 20
23 161798 0.00155326 0 36 0 38 4 20
23 162358 0.00155864 0 36 0 38 1 20
23 162651 0.00156145 0 36 0 38 1 20
23 162803 0.00156291 36 36 31 38 15 20
23 162810 0.00156298 0 36 0 38 3 20
23 163270 0.00156739 0 36 1 38 1 20
23 163436 0.00156899 0 36 0 38 3 20
23 163649 0.00157103 0 36 5 38 2 20
23 163917 0.0015736 0 36 0 38 3 20
23 165653 0.00159027 0 36 0 38 4 20
23 167623 0.00160918 1 36 0 38 1 20
23 168765 0.00162014 1 36 0 38 9 20
23 168792 0.0016204 0 36 2 38 2 20
23 169651 0.00162865 0 36 0 38 1 20
23 170833 0.00164 0 36 0 38 2 20
23 171048 0.00164206 1 36 0 38 14 20
23 171789 0.00164917 5 36 1 38 1 20
23 172219 0.0016533 0 36 0 38 3 20
23 172240 0.0016535 0 36 0 38 3 20
23 172325 0.00165432 0 36 0 38 2 20
23 173998 0.00167038 0 36 0 38 2 20
23 174108 0.00167144 1 36 11 38 2 20
23 174797 0.00167805 0 36 0 38 1 20
23 174802 0.0016781 1 36 0 38 1 20
23 175133 0.00168128 1 36 2 38 2 20
23 175630 0.00168605 0 36 0 38 5 20
23 176090 0.00169046 1 36 0 38 5 20
23 176506 0.00169446 0 36 0 38 2 20
23 177448 0.0017035 1 36 2 38 2 20
23 177568 0.00170465 1 36 0 38 5 20
23 178136 0.00171011 1 36 2 38 2 20
23 178815 0.00171662 1 36 0 38 5 20
23 179557 0.00172375 24 36 21 38 2 20
23 179891 0.00172695 0 36 0 38 8 20
23 180001 0.00172801 1 36 0 38 14 20
23 180071 0.00172868 0 36 0 38 1 20
23 181038 0.00173796 0 36 0 38 3 20
23 181513 0.00174252 0 36 0 38 1 20
23 181794 0.00174522 2 36 13 38 1 20
23 182608 0.00175304 0 36 0 38 4 20
23 182755 0.00175445 11 36 17 38 18 20
23 182989 0.00175669 25 36 21 38 2 20
23 183313 0.0017598 0 36 0 38 2 20
23 183329 0.00175996 13 36 18 38 18 20
23 183918 0.00176561 1 36 0 38 5 20
23 184252 0.00176882 23 36 22 38 1 20
23 184327 0.00176954 13 36 16 38 19 20
23 184650 0.00177264 1 36 0 38 5 20
23 184984 0.00177585 25 36 18 38 2 20
23 185074 0.00177671 25 36 18 38 2 20
23 185076 0.00177673 25 36 18 38 2 20
23 186041 0.00178599 25 36 18 38 2 20
23 186420 0.00178963 6 36 3 38 2 20
23 186823 0.0017935 0 36 0 38 1 20
23 187788 0.00180276 21 36 13 38 3 20
23 188017 0.00180496 1 36 0 38 13 20
23 188205 0.00180677 1 36 0 38 2 20
23 188418 0.00180881 0 36 0 38 2 20
23 188447 0.00180909 20 36 13 38 3 20
23 189396 0.0018182 6 36 3 38 2 20
23 190163 0.00182556 1 36 0 38 1 20
23 191633 0.00183968 0 36 0 38 1 20
23 192259 0.00184569 7 36 3 38 2 20
23 192929 0.00185212 1 36 0 38 15 20
23 193259 0.00185529 11 36 5 38 2 20
23 193520 0.00185779 1 36 0 38 15 20
23 194414 0.00186637 13 36 17 38 3 20
23 194615 0.0018683 12 36 10 38 17 20
23 194671 0.00186884 12 36 10 38 17 20
23 194693 0.00186905 7 36 0 38 2 20
23 195073 0.0018727 12 36 10 38 17 20
23 195138 0.00187332 1 36 0 38 1 20
23 196362 0.00188508 24 36 28 38 3 20
23 196477 0.00188618 13 36 5 38 2 20
23 197393 0.00189497 32 36 24 38 5 20
23 197850 0.00189936 0 36 0 38 1 20
23 198472 0.00190533 1 36 5 38 15 20
23 198623 0.00190678 0 36 0 38 5 20
23 198715 0.00190766 11 36 0 38 2 20
23 199273 0.00191302 1 36 0 38 1 20
23 199452 0.00191474 2 36 7 38 15 20
23 199469 0.0019149 0 36 0 38 6 20
23 199756 0.00191766 0 36 0 38 1 20
23 200476 0.00192457 30 36 24 38 7 20
23 200620 0.00192595 3 36 7 38 13 20
23 200860 0.00192826 1 36 0 38 12 20
23 201120 0.00193075 1 36 0 38 2 20
23 201145 0.00193099 0 36 0 38 7 20
23 201302 0.0019325 0 36 0 38 7 20
